sample	sms	morph	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
sample_SMS120_27_S	SMS120	S	0.0780602	0.00579018	-0.223851	0.117053	-0.0604404	0.0447609	-0.0187379	-0.0147723	-0.0925799	-7.05E-05	-0.0692852	-0.0726416	-0.0190891	-0.0920597	0.00364949	0.112143	0.0893455	-0.286062	0.117836	0.235393
sample_SMS120_28_S	SMS120	S	0.0761074	0.00574444	-0.240059	0.119116	-0.066827	0.0458628	-0.0112176	-0.0142821	-0.0666304	-0.0329778	0.0036387	0.0184196	0.022337	-0.018431	-0.0199962	0.109571	-0.00602545	-0.140858	-0.0326587	0.0644938
sample_SMS120_29_S	SMS120	S	0.0774698	0.00738188	-0.217879	0.119592	-0.0652691	0.0426769	-0.0159238	-0.0138256	-0.0784293	-0.0376943	0.0087511	0.0249823	0.0240605	-0.00554527	-0.0524297	0.0865767	-0.0221585	-0.00784116	-0.0762278	-0.0736319
sample_SMS120_30_S	SMS120	S	0.0770209	0.00543861	-0.217764	0.115005	-0.0609178	0.0416889	-0.0198318	-0.0148251	-0.0677479	-0.0390973	-0.083489	-0.0676866	0.0066382	-0.0392301	0.011721	0.0571025	0.0572734	-0.176128	0.053817	0.171525
sample_SMS121_31_L	SMS121	L	0.0784756	0.00546687	-0.065763	-0.095859	0.200419	-0.0405209	-0.0260652	-0.0159662	-0.031074	-0.0610617	0.00390712	-0.0594933	-0.0441702	0.0608714	0.0772923	-0.119898	0.051062	-0.00872651	-0.0175182	0.0880775
sample_SMS121_32_S	SMS121	S	0.0776251	0.00966006	-0.0520604	-0.0999858	0.16733	-0.0319333	-0.0169731	-0.00248246	-0.0356677	0.0385656	0.0340359	0.0442762	0.0469896	-0.0327591	-0.0355701	0.0798916	-0.0475075	0.0156461	0.0501648	0.0428779
sample_SMS121_33_S	SMS121	S	0.0771561	0.0060731	-0.0478215	-0.10851	0.153967	-0.0215988	-0.0142061	-0.00272632	-0.0303998	0.0237138	-0.00923881	0.0376702	-0.00924039	-0.0890169	-0.0378788	0.0947695	-0.0514503	0.0230862	0.133913	-0.00943392
sample_SMS121_34_L	SMS121	L	0.077297	0.0109371	-0.0505802	-0.116617	0.182272	-0.0339036	-0.0208952	-0.0136156	-0.0190626	-0.0168311	-0.00102175	-0.0436054	-0.0264473	0.0775333	0.0346614	-0.0818601	0.0467307	0.00340612	-0.0912656	-0.0157068
sample_SMS121_35_S	SMS121	S	0.0762413	0.011964	-0.0542586	-0.118278	0.177145	-0.035519	-0.0177705	-0.0107121	-0.0250025	-0.0510375	-0.0354914	-0.0461266	0.0242966	0.0355542	0.00401516	0.0158404	-0.000493343	-0.00797702	-0.106569	0.0337592
sample_SMS121_37_S	SMS121	S	0.0742355	0.0153009	-0.0482438	-0.119638	0.161645	-0.0264166	-0.0104907	-0.00396101	-0.0183105	0.0341847	-0.0352948	0.00231665	-0.00784625	-0.0763642	-0.0591305	0.0947663	-0.0290018	-0.00490616	-0.00573543	-0.0567738
